amount,hour,day_of_week,merchant_category,is_fraud
15.5,21,3,grocery,0
30.56,17,0,grocery,0
33.81,1,4,grocery,0
23.86,18,0,restaurant,0
116.19,22,4,online,0
145.38,12,3,grocery,0
37.45,19,3,grocery,0
18.66,19,1,retail,0
18.98,17,4,retail,0
31.77,14,0,restaurant,0
25.62,4,6,grocery,0
66.35,6,5,retail,0
104.09,14,4,retail,0
132.0,16,5,restaurant,0
217.89,19,1,grocery,0
97.96,8,5,restaurant,0
41.24,0,3,restaurant,0
11.94,18,6,retail,0
8.84,18,6,online,0
121.37,5,2,grocery,0
24.93,19,1,retail,0
5.87,4,1,online,0
23.27,11,0,grocery,0
44.66,15,6,grocery,0
24.18,23,3,restaurant,0
31.54,8,0,restaurant,0
8.29,20,2,grocery,0
213.96,2,0,grocery,1
76.37,2,4,retail,0
12.69,6,3,retail,0
189.86,7,6,online,0
16.53,13,1,online,0
128.43,1,1,grocery,0
167.53,2,4,online,0
55.02,10,6,grocery,0
1.36,4,2,grocery,0
48.72,7,5,grocery,0
74.0,5,4,restaurant,0
17.38,18,1,grocery,0
10.46,1,5,retail,0
56.14,15,5,restaurant,0
3.09,21,5,online,0
9.14,22,3,grocery,0
22.91,13,6,restaurant,0
102.06,19,5,grocery,0
27.91,2,2,grocery,0
36.49,17,0,grocery,0
24.71,1,6,online,0
38.58,4,6,restaurant,0
29.47,6,4,grocery,0
47.78,16,1,travel,0
44.25,8,2,restaurant,0
33.59,5,1,grocery,0
95.59,7,0,online,0
6.99,5,3,online,0
38.55,9,3,online,0
53.45,19,0,retail,0
29.15,1,3,online,0
17.64,6,5,restaurant,0
10.38,21,4,online,0
14.83,9,5,restaurant,0
83.8,16,1,retail,0
37.0,2,6,grocery,0
30.61,17,4,grocery,0
20.42,9,1,retail,0
14.79,7,2,restaurant,0
192.6,16,6,grocery,0
24.66,11,0,restaurant,0
62.71,2,0,grocery,0
72.58,0,1,grocery,0
74.54,14,5,grocery,0
13.69,4,2,grocery,0
261.11,7,2,grocery,0
4.71,13,1,retail,0
13.09,15,2,retail,0
9.78,9,2,restaurant,0
72.71,8,4,retail,0
19.34,5,2,restaurant,0
24.02,7,3,online,0
29.2,7,0,restaurant,0
315.0,4,2,restaurant,0
182.35,9,3,restaurant,0
134.07,5,2,online,0
16.82,12,0,retail,0
7.15,6,3,restaurant,0
294.58,9,5,grocery,0
24.11,19,2,grocery,0
9.58,10,2,retail,0
5.19,19,3,grocery,0
12.84,1,3,online,0
35.31,11,1,restaurant,0
82.72,11,6,retail,0
91.34,2,4,retail,0
48.84,15,1,online,0
601.94,4,5,travel,1
16.09,8,3,online,0
76.38,3,3,grocery,0
17.36,11,4,retail,0
9.31,1,0,travel,0
26.88,7,3,retail,0
1.78,20,3,online,0
20.61,9,0,restaurant,0
47.66,1,4,retail,0
63.95,1,2,restaurant,0
38.83,4,6,grocery,0
201.97,19,1,retail,0
25.76,18,4,retail,0
88.79,7,6,restaurant,0
36.41,9,6,restaurant,0
5.96,21,6,travel,0
7.24,12,6,grocery,0
4.48,23,1,restaurant,0
108.44,18,0,retail,0
21.41,4,4,grocery,0
81.18,15,4,travel,0
3.06,4,4,restaurant,0
46.01,5,0,grocery,0
64.1,12,4,online,0
31.07,22,3,retail,0
94.35,5,5,restaurant,0
44.09,10,6,travel,0
36.14,1,5,retail,0
19.64,1,1,grocery,0
362.61,14,3,grocery,0
34.92,23,6,online,0
66.4,15,5,grocery,0
18.03,5,3,retail,0
152.43,3,5,travel,0
14.47,3,0,restaurant,0
5.68,5,4,grocery,0
11.08,2,5,online,0
57.17,14,6,retail,0
18.58,2,6,grocery,0
146.93,10,5,online,0
55.28,8,5,retail,0
9.61,6,6,restaurant,0
238.21,23,0,retail,0
67.31,18,1,retail,0
26.4,6,2,grocery,0
49.6,17,6,restaurant,0
8.6,4,4,grocery,0
5.54,0,4,retail,0
15.29,15,4,restaurant,0
44.22,19,5,retail,0
337.8,12,2,grocery,0
184.91,20,4,restaurant,0
20.21,1,4,retail,0
11.14,14,6,retail,0
29.65,13,0,grocery,0
6.14,7,3,online,0
17.33,13,6,retail,0
22.19,18,4,grocery,0
597.94,4,3,restaurant,0
37.03,5,2,online,1
34.76,15,5,grocery,0
81.37,0,0,grocery,0
14.77,20,1,grocery,0
8.0,12,6,retail,0
21.14,19,1,retail,0
35.94,22,0,online,0
35.02,2,5,online,0
1.19,2,4,restaurant,0
6.94,20,1,restaurant,0
18.92,5,2,retail,0
247.87,4,2,grocery,0
93.92,5,6,grocery,0
15.49,5,4,retail,0
6.29,4,0,grocery,0
181.58,3,4,retail,0
7.69,22,6,restaurant,0
47.64,20,1,grocery,0
19.61,8,0,restaurant,0
69.22,5,3,online,0
31.35,19,4,retail,0
19.55,11,6,restaurant,0
26.67,0,4,restaurant,0
183.83,8,1,grocery,0
72.23,21,2,retail,0
14.19,2,2,retail,0
211.98,4,6,restaurant,0
723.09,1,4,travel,1
5.06,11,0,online,0
40.15,5,5,grocery,0
12.68,14,4,grocery,0
15.89,19,3,restaurant,0
5.84,19,2,grocery,0
173.0,21,6,retail,0
39.02,4,1,online,1
54.41,21,1,grocery,0
2.87,18,2,online,0
49.49,15,3,restaurant,0
56.47,8,4,retail,0
86.04,22,4,retail,0
26.28,6,1,restaurant,0
11.67,15,3,restaurant,0
110.91,10,5,grocery,0
93.46,21,5,online,0
37.32,22,1,retail,0
0.92,22,0,retail,0
72.03,4,5,restaurant,0
8.61,17,6,retail,0
3.04,4,0,retail,0
21.86,1,6,online,0
80.38,20,6,restaurant,0
145.45,1,0,online,0
36.85,9,1,grocery,0
34.6,7,1,restaurant,0
57.5,19,0,restaurant,0
27.52,12,0,grocery,0
14.66,8,1,retail,0
75.58,7,3,online,0
55.65,14,4,retail,0
106.91,7,1,grocery,0
25.1,23,2,grocery,0
22.66,23,2,online,0
46.41,13,5,retail,0
14.0,22,4,online,0
42.68,23,1,retail,0
47.7,4,4,restaurant,0
104.27,6,1,online,0
196.12,13,1,online,0
22.86,10,0,online,0
12.89,3,6,retail,0
173.74,2,4,restaurant,0
10.47,22,4,restaurant,0
76.63,11,1,restaurant,0
17.88,11,1,restaurant,0
11.02,3,1,restaurant,0
15.85,10,4,restaurant,0
170.97,0,0,retail,0
371.48,4,1,restaurant,1
146.32,16,2,grocery,0
181.99,1,0,retail,0
9.98,0,1,travel,0
11.32,1,3,travel,0
12.47,18,2,grocery,0
29.58,4,0,grocery,0
7.41,1,5,grocery,0
29.53,3,2,grocery,0
8.92,16,4,grocery,0
50.55,11,4,grocery,0
20.27,22,1,retail,0
16.43,10,4,grocery,0
40.42,2,4,online,1
13.13,17,3,online,0
130.19,0,6,retail,0
15.14,5,4,restaurant,0
93.75,1,2,retail,0
31.57,0,4,restaurant,0
42.59,6,0,restaurant,0
20.99,2,2,online,0
5.24,12,2,travel,0
36.63,0,4,retail,0
6.6,20,0,grocery,0
276.69,4,5,restaurant,0
20.25,8,0,grocery,0
132.94,1,6,travel,0
11.16,13,3,grocery,0
37.32,8,6,restaurant,0
195.19,17,6,retail,0
79.03,6,3,online,0
374.85,12,4,restaurant,0
109.28,23,1,grocery,0
11.11,23,4,retail,0
52.43,12,5,retail,0
45.9,5,3,restaurant,0
32.26,4,3,grocery,0
17.52,17,6,online,0
30.4,2,5,retail,0
20.64,13,1,grocery,0
15.13,8,1,retail,0
20.41,5,1,restaurant,0
2.03,19,3,retail,0
56.98,3,3,retail,0
29.5,21,3,grocery,0
30.59,22,1,retail,0
53.54,7,5,grocery,0
68.19,13,6,retail,0
105.84,21,1,restaurant,0
34.52,11,4,retail,0
95.64,7,1,grocery,0
85.31,8,6,restaurant,0
5.2,11,4,restaurant,0
20.57,10,1,retail,0
2.77,16,3,online,0
39.47,5,3,grocery,0
1502.11,2,0,retail,0
24.54,20,1,restaurant,0
47.26,10,2,online,0
28.7,11,6,restaurant,0
4.14,15,1,grocery,0
10.32,7,6,grocery,0
9.15,16,1,retail,0
53.37,10,2,restaurant,0
41.6,0,1,restaurant,0
68.92,5,3,online,0
40.6,2,4,grocery,0
57.47,1,1,online,0
4.17,21,6,travel,0
38.82,22,3,retail,0
137.83,6,2,online,0
74.83,21,5,online,0
1.34,0,6,restaurant,0
33.48,17,0,retail,0
20.29,1,1,retail,0
18.88,11,3,retail,0
133.03,5,6,retail,0
3.35,7,3,retail,0
10.69,5,1,restaurant,0
580.76,11,1,retail,0
34.34,19,2,restaurant,0
10.06,20,4,restaurant,0
52.38,12,2,grocery,0
130.09,13,3,retail,0
24.42,5,0,grocery,0
11.65,5,4,grocery,0
11.27,14,3,retail,0
28.88,4,3,grocery,0
309.51,13,5,restaurant,0
84.15,15,4,retail,0
19.21,12,6,retail,0
6.08,3,0,travel,0
1347.78,20,0,restaurant,0
27.62,3,5,travel,0
6.22,0,3,grocery,0
36.36,12,4,retail,0
60.9,16,6,restaurant,0
204.41,16,6,grocery,0
67.27,15,3,grocery,0
392.43,15,5,retail,0
128.01,23,0,grocery,0
65.25,21,5,grocery,0
93.29,14,0,restaurant,0
13.07,10,0,grocery,0
52.44,22,2,grocery,0
8.3,0,4,restaurant,0
2.75,1,5,grocery,0
15.25,10,2,retail,0
91.8,21,6,online,0
3.09,12,1,restaurant,0
394.13,3,3,restaurant,0
160.5,3,6,restaurant,0
8.46,9,0,online,0
8.9,18,2,restaurant,0
372.92,17,4,retail,0
19.46,21,5,travel,0
108.77,22,3,grocery,0
1724.38,23,2,restaurant,0
12.18,2,1,restaurant,0
8.21,8,3,retail,0
16.46,9,0,travel,0
137.47,11,2,online,0
52.56,0,3,retail,0
61.42,9,2,restaurant,0
3.58,2,6,restaurant,0
64.55,14,5,restaurant,0
91.41,10,0,retail,0
29.8,6,3,travel,0
32.21,20,4,retail,0
14.16,0,2,grocery,0
94.04,8,3,grocery,0
31.57,15,0,grocery,0
76.8,8,2,online,0
19.49,22,5,grocery,0
43.31,20,5,grocery,0
129.02,3,2,online,0
10.39,7,2,grocery,0
159.67,16,3,restaurant,0
17.55,21,2,online,0
83.42,3,1,grocery,0
28.83,18,6,travel,0
82.58,19,2,grocery,0
44.83,9,3,restaurant,0
11.68,4,2,online,0
64.97,1,5,grocery,0
68.25,2,3,grocery,0
60.14,5,6,online,0
15.1,20,5,restaurant,0
202.44,3,5,grocery,0
60.27,14,2,retail,0
48.27,15,5,online,0
46.71,8,1,retail,0
45.23,21,3,grocery,0
681.88,18,1,retail,0
22.26,11,3,grocery,0
27.95,16,2,retail,0
2104.76,3,4,travel,1
125.77,17,3,grocery,0
10.42,0,6,restaurant,0
7.73,4,4,restaurant,0
6.01,18,1,retail,0
9.7,16,0,grocery,0
10.65,12,6,grocery,0
8.22,3,5,grocery,0
73.18,11,4,retail,0
25.84,7,2,retail,0
5.21,1,4,restaurant,0
51.17,11,0,restaurant,0
130.78,16,6,grocery,0
118.41,19,4,grocery,0
20.66,21,0,online,0
49.84,12,1,travel,0
66.07,11,4,restaurant,0
1.02,3,5,online,0
60.06,12,1,grocery,0
270.35,3,6,online,0
131.53,21,4,restaurant,0
62.56,7,1,retail,0
45.05,12,5,restaurant,0
13.59,18,1,retail,0
6.19,5,6,travel,0
69.32,4,1,online,0
70.12,12,0,online,0
55.4,1,1,grocery,0
41.16,12,2,grocery,0
4.81,9,3,online,0
39.72,5,1,restaurant,0
58.93,10,3,grocery,0
10.63,23,3,grocery,0
676.06,0,5,retail,1
43.88,1,5,restaurant,0
4.73,15,2,retail,0
197.98,9,5,grocery,0
33.4,7,0,travel,0
99.44,10,2,restaurant,0
28.62,15,0,online,0
9.55,21,0,restaurant,0
23.29,20,2,online,0
38.2,9,4,restaurant,0
17.88,23,4,online,0
29.25,16,4,online,0
89.04,13,2,grocery,0
53.81,16,0,restaurant,0
20.84,14,3,retail,0
175.87,22,3,retail,0
70.93,2,6,retail,0
14.54,20,6,retail,0
14.9,7,0,grocery,0
56.55,8,3,travel,0
147.64,16,1,retail,0
104.12,22,0,retail,0
23.29,11,5,restaurant,0
9.19,1,5,grocery,0
128.52,20,2,online,0
7.16,2,6,restaurant,0
2.56,8,4,grocery,0
8.32,14,6,grocery,0
7.78,8,4,restaurant,0
15.17,5,6,grocery,0
33.0,2,0,grocery,0
27.53,19,6,restaurant,0
38.15,5,5,grocery,0
96.09,20,2,online,0
35.37,23,3,travel,1
75.54,3,1,online,1
18.94,2,1,online,0
98.58,10,4,grocery,0
6.12,14,2,grocery,0
22.7,16,6,restaurant,0
19.94,15,5,retail,0
120.05,0,6,restaurant,0
578.61,5,3,grocery,0
162.61,14,3,travel,0
3.81,14,2,online,0
25.41,15,4,restaurant,0
25.67,12,2,grocery,0
5.08,10,1,retail,0
3.1,18,0,retail,0
93.99,20,4,retail,0
161.83,12,4,retail,0
127.25,18,4,retail,0
1021.44,18,1,retail,0
61.98,3,3,retail,0
9.49,6,6,grocery,0
2.44,23,4,restaurant,0
17.61,3,0,online,0
35.16,20,0,restaurant,0
37.66,8,1,retail,0
153.3,9,0,retail,0
24.08,21,5,retail,0
242.59,0,3,online,1
283.97,3,5,restaurant,0
22.6,3,4,retail,0
25.21,0,3,retail,0
7.8,9,6,retail,0
7.07,17,1,grocery,0
24.11,3,0,grocery,0
109.6,2,6,grocery,0
57.21,18,6,grocery,0
9.87,20,1,retail,0
6.74,10,3,restaurant,0
29.22,20,4,grocery,0
67.85,10,0,grocery,0
50.55,10,1,grocery,0
59.53,10,0,retail,0
38.82,20,1,online,0
12.28,3,3,restaurant,0
66.81,17,3,online,0
4.68,12,6,restaurant,0
7.72,2,0,grocery,0
98.84,14,3,retail,0
2.21,12,0,travel,0
138.2,18,0,grocery,0
24.44,4,6,travel,0
10.98,19,6,travel,0
3.94,9,4,grocery,0
25.5,2,6,restaurant,0
57.39,14,6,retail,0
9.27,14,3,retail,0
6.08,17,3,grocery,0
59.19,2,6,online,0
26.17,13,5,restaurant,0
119.36,19,4,grocery,0
10.66,1,4,retail,0
16.78,18,3,retail,0
46.3,22,2,online,0
24.44,19,2,online,0
24.19,10,1,grocery,0
6.36,14,1,retail,0
48.13,11,0,online,0
0.84,17,1,restaurant,0
4.97,12,3,retail,0
16.8,23,0,grocery,0
54.72,16,6,retail,0
13.58,20,2,retail,0
59.38,18,1,retail,0
6.61,11,6,restaurant,0
24.45,13,6,grocery,0
20.36,0,6,restaurant,0
99.86,17,4,online,0
36.92,11,4,grocery,0
15.23,4,5,retail,0
9.13,23,0,retail,0
39.46,4,1,grocery,0
725.1,3,6,travel,0
27.98,7,6,online,0
63.52,6,4,online,0
7.44,7,1,grocery,0
40.07,11,6,online,0
50.52,8,1,retail,0
69.39,7,4,grocery,0
8.36,20,1,grocery,0
75.89,11,2,grocery,0
28.78,23,4,grocery,0
177.78,9,0,restaurant,0
33.33,1,0,grocery,0
9.21,13,0,retail,0
58.93,7,5,grocery,0
3.54,21,1,restaurant,0
260.47,15,5,retail,0
19.4,20,6,online,0
55.81,15,4,grocery,0
99.93,22,2,retail,0
36.87,13,1,restaurant,0
85.71,21,2,online,0
4.52,1,4,grocery,0
19.68,16,0,online,0
17.65,20,3,grocery,0
59.54,2,2,retail,0
14.8,19,5,online,0
17.88,5,6,retail,0
2.05,2,2,restaurant,0
7.36,16,5,restaurant,0
14.78,15,2,grocery,0
63.03,9,5,restaurant,0
116.59,20,5,online,0
89.2,5,3,retail,0
17.79,4,2,online,0
23.49,8,4,retail,0
16.01,19,6,retail,0
129.41,8,5,retail,0
33.16,16,1,retail,0
16.69,10,6,online,0
3.88,10,2,grocery,0
23.54,5,0,travel,0
1042.72,2,3,online,1
111.8,9,2,retail,0
55.99,12,5,restaurant,0
142.31,23,4,retail,0
116.92,23,3,restaurant,0
12.14,22,0,retail,0
20.96,9,1,restaurant,0
171.09,13,1,grocery,0
11.34,4,4,grocery,0
2.5,15,0,restaurant,0
43.05,9,2,travel,0
30.85,5,2,travel,0
21.38,8,0,restaurant,0
71.4,6,0,retail,0
73.3,5,3,online,0
552.74,6,6,grocery,0
19.01,16,2,retail,0
135.75,15,5,online,0
10.25,9,0,grocery,0
6.55,4,5,online,0
4.28,16,1,online,0
43.77,2,1,travel,0
57.18,21,5,restaurant,0
9.64,5,2,travel,0
50.46,5,4,restaurant,0
6.59,3,0,restaurant,0
260.5,0,5,online,0
6.94,2,0,online,0
17.33,6,2,restaurant,0
118.13,3,6,retail,0
52.86,6,0,grocery,0
16.78,21,0,online,0
51.39,21,4,retail,0
7.29,13,6,travel,0
6.0,10,2,retail,0
55.73,12,4,online,0
16.46,20,6,restaurant,0
26.78,18,6,retail,0
17.82,10,0,retail,0
4.93,1,2,retail,0
37.71,20,2,restaurant,0
35.0,14,3,retail,0
40.74,14,5,online,0
11.6,11,0,retail,0
17.94,1,4,grocery,0
26.69,21,4,online,0
32.59,12,3,travel,0
17.6,20,0,grocery,0
